Start Training ...
Start Training ...
Epoch 1 | Step 100 | loss = 5.459, acc = 0.000
Epoch 1 | Step 200 | loss = 5.486, acc = 0.000
Epoch 1 | Step 300 | loss = 5.428, acc = 0.000
Epoch 1 | Step 400 | loss = 5.335, acc = 0.000
Epoch 1 | Step 500 | loss = 5.242, acc = 0.000
Epoch 1 | Step 600 | loss = 5.118, acc = 0.001
Epoch 1 | Step 700 | loss = 4.960, acc = 0.002
Epoch 1 | Step 800 | loss = 4.798, acc = 0.007
Epoch 1 | Step 900 | loss = 4.567, acc = 0.024
Epoch 1 | Step 1000 | loss = 4.310, acc = 0.045
Epoch 1 | Step 1100 | loss = 4.043, acc = 0.035
Epoch 1 | Step 1200 | loss = 3.656, acc = 0.066
Epoch 1 | Step 1300 | loss = 3.370, acc = 0.079
Epoch 1 | Step 1400 | loss = 3.094, acc = 0.099
Epoch 1 | Step 1500 | loss = 2.812, acc = 0.121
Epoch 1 | Step 1600 | loss = 2.543, acc = 0.190
Epoch 1 | Step 1700 | loss = 2.211, acc = 0.251
Epoch 1 | Step 1800 | loss = 2.079, acc = 0.296
Epoch 1 | Step 1900 | loss = 1.951, acc = 0.310
Epoch 1 | Step 2000 | loss = 1.835, acc = 0.332
Epoch 1 | Step 2100 | loss = 1.723, acc = 0.414
Epoch 1 | Step 2200 | loss = 1.621, acc = 0.421
Epoch 1 | Step 2300 | loss = 1.497, acc = 0.464
Epoch 1 | Step 2400 | loss = 1.450, acc = 0.461
Epoch 1 | Step 2500 | loss = 1.448, acc = 0.481
Epoch 1 | Step 2600 | loss = 1.347, acc = 0.516
Epoch 1 | Step 2700 | loss = 1.281, acc = 0.532
Epoch 1 | Step 2800 | loss = 1.169, acc = 0.551
Epoch 1 | Step 2900 | loss = 1.161, acc = 0.535
Epoch 1 | Step 3000 | loss = 1.237, acc = 0.531
Epoch 1 | Step 3100 | loss = 1.192, acc = 0.551
Epoch 1 | Step 3200 | loss = 1.184, acc = 0.549
Epoch 1 | Step 3300 | loss = 1.082, acc = 0.577
Evaluating Dev Set ...
Validation | Epoch 4 | acc = 0.551
Epoch 2 | Step 100 | loss = 1.016, acc = 0.590
Epoch 2 | Step 200 | loss = 1.111, acc = 0.564
Epoch 2 | Step 300 | loss = 1.044, acc = 0.596
Epoch 2 | Step 400 | loss = 1.073, acc = 0.589
Epoch 2 | Step 500 | loss = 0.953, acc = 0.591
Epoch 2 | Step 600 | loss = 0.943, acc = 0.623
Epoch 2 | Step 700 | loss = 0.991, acc = 0.601
Epoch 2 | Step 800 | loss = 0.973, acc = 0.591
Epoch 2 | Step 900 | loss = 1.009, acc = 0.599
Epoch 2 | Step 1000 | loss = 0.952, acc = 0.606
Epoch 2 | Step 1100 | loss = 0.867, acc = 0.650
Epoch 2 | Step 1200 | loss = 0.875, acc = 0.641
Epoch 2 | Step 1300 | loss = 0.914, acc = 0.646
Epoch 2 | Step 1400 | loss = 0.908, acc = 0.637
Epoch 2 | Step 1500 | loss = 0.858, acc = 0.652
Epoch 2 | Step 1600 | loss = 0.914, acc = 0.626
Epoch 2 | Step 1700 | loss = 0.829, acc = 0.647
Epoch 2 | Step 1800 | loss = 0.854, acc = 0.649
Epoch 2 | Step 1900 | loss = 0.852, acc = 0.635
Epoch 2 | Step 2000 | loss = 0.886, acc = 0.630
Epoch 2 | Step 2100 | loss = 0.813, acc = 0.670
Epoch 2 | Step 2200 | loss = 0.877, acc = 0.669
Epoch 2 | Step 2300 | loss = 0.830, acc = 0.665
Epoch 2 | Step 2400 | loss = 0.850, acc = 0.647
Epoch 2 | Step 2500 | loss = 0.830, acc = 0.644
Epoch 2 | Step 2600 | loss = 0.779, acc = 0.686
Epoch 2 | Step 2700 | loss = 0.802, acc = 0.675
Epoch 2 | Step 2800 | loss = 0.771, acc = 0.685
Epoch 2 | Step 2900 | loss = 0.787, acc = 0.683
Epoch 2 | Step 3000 | loss = 0.722, acc = 0.670
Epoch 2 | Step 3100 | loss = 0.879, acc = 0.636
Epoch 2 | Step 3200 | loss = 0.755, acc = 0.678
Epoch 2 | Step 3300 | loss = 0.866, acc = 0.657
Evaluating Dev Set ...
Validation | Epoch 4 | acc = 0.627
Epoch 3 | Step 100 | loss = 0.720, acc = 0.670
Epoch 3 | Step 200 | loss = 0.726, acc = 0.701
Epoch 3 | Step 300 | loss = 0.709, acc = 0.692
Epoch 3 | Step 400 | loss = 0.694, acc = 0.688
Epoch 3 | Step 500 | loss = 0.726, acc = 0.659
Epoch 3 | Step 600 | loss = 0.788, acc = 0.688
Epoch 3 | Step 700 | loss = 0.714, acc = 0.704
Epoch 3 | Step 800 | loss = 0.783, acc = 0.662
Epoch 3 | Step 900 | loss = 0.749, acc = 0.679
Epoch 3 | Step 1000 | loss = 0.703, acc = 0.705
Epoch 3 | Step 1100 | loss = 0.699, acc = 0.694
Epoch 3 | Step 1200 | loss = 0.677, acc = 0.724
Epoch 3 | Step 1300 | loss = 0.680, acc = 0.702
Epoch 3 | Step 1400 | loss = 0.665, acc = 0.720
Epoch 3 | Step 1500 | loss = 0.741, acc = 0.678
Epoch 3 | Step 1600 | loss = 0.662, acc = 0.722
Epoch 3 | Step 1700 | loss = 0.714, acc = 0.699
Epoch 3 | Step 1800 | loss = 0.659, acc = 0.720
Epoch 3 | Step 1900 | loss = 0.697, acc = 0.709
Epoch 3 | Step 2000 | loss = 0.661, acc = 0.711
Epoch 3 | Step 2100 | loss = 0.692, acc = 0.683
Epoch 3 | Step 2200 | loss = 0.699, acc = 0.690
Epoch 3 | Step 2300 | loss = 0.709, acc = 0.702
Epoch 3 | Step 2400 | loss = 0.726, acc = 0.675
Epoch 3 | Step 2500 | loss = 0.702, acc = 0.710
Epoch 3 | Step 2600 | loss = 0.709, acc = 0.683
Epoch 3 | Step 2700 | loss = 0.676, acc = 0.727
Epoch 3 | Step 2800 | loss = 0.670, acc = 0.716
Epoch 3 | Step 2900 | loss = 0.664, acc = 0.711
Epoch 3 | Step 3000 | loss = 0.702, acc = 0.696
Epoch 3 | Step 3100 | loss = 0.734, acc = 0.692
Epoch 3 | Step 3200 | loss = 0.711, acc = 0.684
Epoch 3 | Step 3300 | loss = 0.669, acc = 0.716
Evaluating Dev Set ...
Validation | Epoch 4 | acc = 0.641
Saving Model ...
