Start Training ...
Epoch 1 | Step 100 | loss = 2.336, acc = 0.390
Epoch 1 | Step 200 | loss = 1.992, acc = 0.475
Epoch 1 | Step 300 | loss = 1.870, acc = 0.481
Epoch 1 | Step 400 | loss = 1.384, acc = 0.553
Epoch 1 | Step 500 | loss = 1.129, acc = 0.601
Epoch 1 | Step 600 | loss = 0.991, acc = 0.649
Epoch 1 | Step 700 | loss = 0.858, acc = 0.659
Epoch 1 | Step 800 | loss = 0.818, acc = 0.678
Epoch 1 | Step 900 | loss = 0.772, acc = 0.697
Epoch 1 | Step 1000 | loss = 0.699, acc = 0.719
Epoch 1 | Step 1100 | loss = 0.712, acc = 0.689
Epoch 1 | Step 1200 | loss = 0.768, acc = 0.683
Epoch 1 | Step 1300 | loss = 0.712, acc = 0.726
Epoch 1 | Step 1400 | loss = 0.711, acc = 0.705
Epoch 1 | Step 1500 | loss = 0.616, acc = 0.736
Epoch 1 | Step 1600 | loss = 0.602, acc = 0.754
Epoch 1 | Step 1700 | loss = 0.631, acc = 0.750
Epoch 1 | Step 1800 | loss = 0.588, acc = 0.770
Epoch 1 | Step 1900 | loss = 0.598, acc = 0.748
Epoch 1 | Step 2000 | loss = 0.574, acc = 0.759
Epoch 1 | Step 2100 | loss = 0.613, acc = 0.743
Epoch 1 | Step 2200 | loss = 0.582, acc = 0.749
Epoch 1 | Step 2300 | loss = 0.609, acc = 0.754
Epoch 1 | Step 2400 | loss = 0.583, acc = 0.754
Epoch 1 | Step 2500 | loss = 0.520, acc = 0.780
Epoch 1 | Step 2600 | loss = 0.590, acc = 0.749
Epoch 1 | Step 2700 | loss = 0.569, acc = 0.749
Epoch 1 | Step 2800 | loss = 0.609, acc = 0.740
Epoch 1 | Step 2900 | loss = 0.573, acc = 0.757
Epoch 1 | Step 3000 | loss = 0.583, acc = 0.761
Epoch 1 | Step 3100 | loss = 0.515, acc = 0.777
Epoch 1 | Step 3200 | loss = 0.609, acc = 0.745
Epoch 1 | Step 3300 | loss = 0.503, acc = 0.799
Evaluating Dev Set ...
