Start Training ...
Epoch 1 | Step 100 | loss = 2.334, acc = 0.411
Epoch 1 | Step 200 | loss = 2.113, acc = 0.445
Epoch 1 | Step 300 | loss = 1.698, acc = 0.519
Epoch 1 | Step 400 | loss = 1.320, acc = 0.592
Epoch 1 | Step 500 | loss = 1.182, acc = 0.610
Epoch 1 | Step 600 | loss = 1.047, acc = 0.634
Epoch 1 | Step 700 | loss = 0.910, acc = 0.660
Epoch 1 | Step 800 | loss = 0.911, acc = 0.642
Epoch 1 | Step 900 | loss = 0.796, acc = 0.681
Epoch 1 | Step 1000 | loss = 0.704, acc = 0.709
Epoch 1 | Step 1100 | loss = 0.636, acc = 0.745
Epoch 1 | Step 1200 | loss = 0.692, acc = 0.725
Epoch 1 | Step 1300 | loss = 0.619, acc = 0.738
Epoch 1 | Step 1400 | loss = 0.625, acc = 0.729
Epoch 1 | Step 1500 | loss = 0.689, acc = 0.724
Epoch 1 | Step 1600 | loss = 0.568, acc = 0.759
Epoch 1 | Step 1700 | loss = 0.604, acc = 0.759
Epoch 1 | Step 1800 | loss = 0.588, acc = 0.743
Epoch 1 | Step 1900 | loss = 0.549, acc = 0.752
Epoch 1 | Step 2000 | loss = 0.724, acc = 0.721
Epoch 1 | Step 2100 | loss = 0.588, acc = 0.745
Epoch 1 | Step 2200 | loss = 0.557, acc = 0.771
Epoch 1 | Step 2300 | loss = 0.591, acc = 0.745
Epoch 1 | Step 2400 | loss = 0.549, acc = 0.750
Epoch 1 | Step 2500 | loss = 0.590, acc = 0.746
Epoch 1 | Step 2600 | loss = 0.580, acc = 0.767
Epoch 1 | Step 2700 | loss = 0.580, acc = 0.757
Epoch 1 | Step 2800 | loss = 0.533, acc = 0.791
Epoch 1 | Step 2900 | loss = 0.524, acc = 0.779
Epoch 1 | Step 3000 | loss = 0.555, acc = 0.766
Epoch 1 | Step 3100 | loss = 0.579, acc = 0.769
Epoch 1 | Step 3200 | loss = 0.613, acc = 0.767
Epoch 1 | Step 3300 | loss = 0.550, acc = 0.760
Evaluating Dev Set ...
Validation | Epoch 4 | acc = 0.785
Epoch 2 | Step 100 | loss = 0.481, acc = 0.765
Epoch 2 | Step 200 | loss = 0.505, acc = 0.786
